SHIPMENT_ID,ORDER_ID,SHIP_DATE,SHIP_MODE,SEGMENT,COUNTRY,CITY,STATE,POSTAL_CODE,REGION
200,CA-2017-105074,2017-06-29,Standard Class,Consumer,United States,Akron,Ohio,44312,East
201,CA-2014-133690,2014-08-05,First Class,Consumer,United States,Denver,Colorado,80219,West
203,US-2017-116701,2017-12-21,Second Class,Consumer,United States,Dallas,Texas,75220,Central
204,CA-2017-126382,2017-06-07,Standard Class,Corporate,United States,Franklin,Tennessee,37064,South
205,CA-2017-108329,2017-12-14,Standard Class,Consumer,United States,Whittier,California,90604,West
206,CA-2017-135860,2017-12-07,Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central
211,CA-2015-101007,2015-02-13,Second Class,Corporate,United States,Dallas,Texas,75220,Central
212,CA-2015-146262,2015-01-09,Standard Class,Corporate,United States,Medina,Ohio,44256,East
217,CA-2016-130162,2016-11-01,Standard Class,Consumer,United States,Los Angeles,California,90032,West
219,CA-2015-169397,2015-12-27,First Class,Consumer,United States,Dublin,Ohio,43017,East
225,CA-2015-163055,2015-08-16,Standard Class,Corporate,United States,Detroit,Michigan,48227,Central
228,US-2015-145436,2015-03-04,Standard Class,Consumer,United States,Columbia,Tennessee,38401,South
230,US-2014-156216,2014-09-17,Standard Class,Corporate,United States,Charlotte,North Carolina,28205,South
231,US-2017-100930,2017-04-12,Standard Class,Home Office,United States,Tampa,Florida,33614,South
236,CA-2017-160514,2017-11-16,Standard Class,Corporate,United States,Santa Clara,California,95051,West
237,CA-2016-157749,2016-06-09,Second Class,Consumer,United States,Chicago,Illinois,60610,Central
244,CA-2014-131926,2014-06-06,Second Class,Home Office,United States,Lakeville,Minnesota,55044,Central
249,CA-2016-154739,2016-12-15,Second Class,Consumer,United States,San Francisco,California,94109,West
250,CA-2016-145625,2016-09-17,Standard Class,Consumer,United States,San Diego,California,92037,West
252,CA-2016-146941,2016-12-13,First Class,Consumer,United States,New York City,New York,10024,East
254,US-2015-159982,2015-12-04,Standard Class,Corporate,United States,Chicago,Illinois,60623,Central
258,CA-2017-163139,2017-12-03,Second Class,Consumer,United States,New York City,New York,10009,East
261,US-2017-155299,2017-06-12,Standard Class,Corporate,United States,Pasadena,Texas,77506,Central
262,US-2014-106992,2014-09-21,Second Class,Corporate,United States,Houston,Texas,77036,Central
264,CA-2016-125318,2016-06-13,Standard Class,Consumer,United States,Chicago,Illinois,60610,Central
265,CA-2015-155040,2015-11-15,Standard Class,Consumer,United States,Brentwood,California,94513,West
266,CA-2017-136826,2017-06-20,Standard Class,Corporate,United States,Chapel Hill,North Carolina,27514,South
267,CA-2016-111010,2016-01-28,Standard Class,Consumer,United States,Morristown,New Jersey,7960,East
268,US-2017-145366,2017-12-13,Standard Class,Corporate,United States,Cincinnati,Ohio,45231,East
270,CA-2017-163979,2018-01-02,Second Class,Corporate,United States,San Francisco,California,94110,West
271,CA-2015-155334,2015-07-31,First Class,Consumer,United States,San Francisco,California,94109,West
274,CA-2017-118136,2017-09-17,First Class,Corporate,United States,Inglewood,California,90301,West
276,CA-2017-132976,2017-10-17,Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East
280,US-2015-161991,2015-09-28,Second Class,Consumer,United States,Houston,Texas,77070,Central
282,CA-2015-130890,2015-11-06,Standard Class,Consumer,United States,Los Angeles,California,90004,West
283,CA-2015-130883,2015-10-02,Standard Class,Consumer,United States,Portland,Oregon,97206,West
286,CA-2016-112697,2016-12-20,Second Class,Corporate,United States,Tamarac,Florida,33319,South
289,CA-2016-110772,2016-11-24,Second Class,Home Office,United States,Columbus,Ohio,43229,East
293,CA-2014-111451,2014-12-28,First Class,Corporate,United States,Colorado Springs,Colorado,80906,West
298,CA-2016-142545,2016-11-03,Standard Class,Corporate,United States,Belleville,New Jersey,7109,East
303,US-2017-152380,2017-11-23,Standard Class,Consumer,United States,Chicago,Illinois,60623,Central
304,CA-2015-144253,2015-05-09,Second Class,Corporate,United States,New York City,New York,10024,East
305,CA-2014-130960,2015-01-04,Standard Class,Corporate,United States,Taylor,Michigan,48180,Central
306,CA-2014-111003,2014-06-06,Standard Class,Home Office,United States,Lakewood,New Jersey,8701,East
308,CA-2017-126774,2017-04-17,First Class,Consumer,United States,Arlington,Virginia,22204,South
309,CA-2016-142902,2016-09-14,Second Class,Corporate,United States,Arvada,Colorado,80004,West
313,CA-2014-120887,2014-10-03,Standard Class,Corporate,United States,Hackensack,New Jersey,7601,East
314,CA-2014-167850,2014-08-16,Standard Class,Corporate,United States,Saint Petersburg,Florida,33710,South
316,CA-2014-164259,2014-12-30,First Class,Corporate,United States,Philadelphia,Pennsylvania,19143,East
317,CA-2014-164973,2014-11-09,Standard Class,Home Office,United States,New York City,New York,10024,East
322,CA-2014-156601,2014-09-24,Standard Class,Corporate,United States,Long Beach,California,90805,West
323,CA-2016-162138,2016-04-27,Standard Class,Corporate,United States,Hesperia,California,92345,West
325,CA-2017-153339,2017-11-05,Second Class,Corporate,United States,Murfreesboro,Tennessee,37130,South
326,US-2016-141544,2016-09-01,First Class,Consumer,United States,Philadelphia,Pennsylvania,19143,East
331,US-2016-150147,2016-04-29,Second Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East
334,CA-2015-137946,2015-09-04,Second Class,Consumer,United States,Los Angeles,California,90045,West
337,CA-2014-129924,2014-07-17,Standard Class,Corporate,United States,San Francisco,California,94122,West
339,CA-2015-128167,2015-06-26,Second Class,Consumer,United States,Layton,Utah,84041,West
340,CA-2014-122336,2014-04-17,Second Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East
344,US-2015-120712,2015-12-24,Standard Class,Consumer,United States,Austin,Texas,78745,Central
345,CA-2017-169901,2017-06-19,Standard Class,Consumer,United States,San Francisco,California,94122,West
346,CA-2017-134306,2017-07-12,Standard Class,Consumer,United States,Lowell,Massachusetts,1852,East
349,CA-2016-129714,2016-09-03,First Class,Home Office,United States,New York City,New York,10009,East
354,CA-2016-138520,2016-04-13,Standard Class,Consumer,United States,New York City,New York,10035,East
358,CA-2016-130001,2016-04-28,Standard Class,Corporate,United States,Charlotte,North Carolina,28205,South
359,CA-2017-155698,2017-03-11,First Class,Corporate,United States,Columbus,Georgia,31907,South
361,CA-2017-144904,2017-10-01,Standard Class,Consumer,United States,New York City,New York,10009,East
365,CA-2014-123344,2014-09-29,Standard Class,Consumer,United States,San Francisco,California,94109,West
366,CA-2016-155516,2016-10-21,Same Day,Corporate,United States,Manchester,Connecticut,6040,East
370,CA-2017-104745,2017-06-04,Standard Class,Consumer,United States,Harlingen,Texas,78550,Central
372,US-2014-119137,2014-07-27,Standard Class,Consumer,United States,Tucson,Arizona,85705,West
376,US-2016-134656,2016-10-01,First Class,Corporate,United States,Quincy,Illinois,62301,Central
377,US-2017-134481,2017-09-01,Standard Class,Corporate,United States,Franklin,Massachusetts,2038,East
378,CA-2015-130792,2015-05-05,Standard Class,Consumer,United States,Houston,Texas,77095,Central
381,CA-2016-134775,2016-10-29,First Class,Corporate,United States,San Francisco,California,94109,West
383,CA-2015-125395,2015-06-29,Second Class,Corporate,United States,Taylor,Michigan,48180,Central
384,US-2015-168935,2015-12-02,Standard Class,Consumer,United States,Pembroke Pines,Florida,33024,South
386,CA-2015-122756,2015-12-07,Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East
388,CA-2014-115973,2014-11-26,First Class,Consumer,United States,Cincinnati,Ohio,45231,East
389,CA-2017-101798,2017-12-15,Standard Class,Consumer,United States,New York City,New York,10009,East
391,US-2014-135972,2014-09-23,Second Class,Consumer,United States,Des Moines,Washington,98198,West
393,US-2014-134971,2014-06-10,Second Class,Corporate,United States,Peoria,Illinois,61604,Central
394,CA-2017-102946,2017-07-05,Standard Class,Home Office,United States,Las Vegas,Nevada,89115,West
395,CA-2017-165603,2017-10-19,Second Class,Corporate,United States,Warwick,Rhode Island,2886,East
397,CA-2015-122259,2015-11-04,Standard Class,Home Office,United States,Jackson,Michigan,49201,Central
398,CA-2016-108987,2016-09-10,Second Class,Consumer,United States,Houston,Texas,77036,Central
402,CA-2014-113166,2014-12-26,First Class,Consumer,United States,Miami,Florida,33180,South
403,CA-2014-155208,2014-04-20,Standard Class,Corporate,United States,Wilmington,North Carolina,28403,South
404,CA-2017-117933,2017-12-29,Standard Class,Consumer,United States,New York City,New York,10024,East
405,CA-2017-117457,2017-12-12,Standard Class,Consumer,United States,San Francisco,California,94110,West
414,CA-2017-142636,2017-11-07,Standard Class,Corporate,United States,Seattle,Washington,98105,West
416,CA-2017-122105,2017-06-28,Standard Class,Consumer,United States,Huntington Beach,California,92646,West
417,CA-2016-148796,2016-04-18,Standard Class,Consumer,United States,Los Angeles,California,90004,West
418,CA-2017-154816,2017-11-10,Standard Class,Corporate,United States,Richmond,Kentucky,40475,South
419,CA-2017-110478,2017-03-09,Standard Class,Corporate,United States,Los Angeles,California,90045,West
421,CA-2014-142048,2014-06-25,First Class,Consumer,United States,Louisville,Colorado,80027,West
422,CA-2017-125388,2017-10-23,Standard Class,Corporate,United States,Lawrence,Massachusetts,1841,East
424,CA-2017-155705,2017-08-23,Second Class,Consumer,United States,Jackson,Mississippi,39212,South
425,CA-2017-149160,2017-11-26,Second Class,Corporate,United States,Canton,Michigan,48187,Central
427,CA-2014-101476,2014-09-13,First Class,Home Office,United States,New Rochelle,New York,10801,East
428,CA-2017-152275,2017-10-08,Standard Class,Corporate,United States,San Antonio,Texas,78207,Central
429,US-2016-123750,2016-04-21,Standard Class,Home Office,United States,Gastonia,North Carolina,28052,South
433,CA-2016-127369,2016-06-07,First Class,Consumer,United States,Lowell,Massachusetts,1852,East
434,US-2014-150574,2014-12-25,Standard Class,Consumer,United States,Jacksonville,Florida,32216,South
436,CA-2016-147375,2016-06-14,Second Class,Home Office,United States,Chicago,Illinois,60623,Central
438,CA-2017-130043,2017-09-19,Standard Class,Corporate,United States,Houston,Texas,77070,Central
439,CA-2017-157252,2017-01-23,Second Class,Corporate,United States,New York City,New York,10024,East
440,CA-2016-115756,2016-09-07,Second Class,Consumer,United States,Detroit,Michigan,48227,Central
446,CA-2017-154214,2017-03-25,Second Class,Consumer,United States,Columbus,Indiana,47201,Central
447,CA-2016-166674,2016-04-03,Second Class,Consumer,United States,Auburn,New York,13021,East
453,CA-2017-147277,2017-10-24,Standard Class,Corporate,United States,Akron,Ohio,44312,East
455,CA-2016-100153,2016-12-17,Standard Class,Corporate,United States,Norman,Oklahoma,73071,Central
456,US-2014-110674,2014-02-18,Standard Class,Consumer,United States,Concord,California,94521,West
457,US-2016-157945,2016-10-01,Standard Class,Consumer,United States,Decatur,Illinois,62521,Central
459,CA-2015-109638,2015-12-22,Standard Class,Consumer,United States,Seattle,Washington,98115,West
462,CA-2016-109869,2016-04-29,Standard Class,Home Office,United States,Phoenix,Arizona,85023,West
467,US-2015-101399,2015-01-24,Standard Class,Home Office,United States,Park Ridge,Illinois,60068,Central
468,CA-2017-154907,2017-04-04,Standard Class,Corporate,United States,Amarillo,Texas,79109,Central
469,US-2016-100419,2016-12-20,Second Class,Consumer,United States,Chicago,Illinois,60610,Central
470,CA-2015-154144,2015-12-24,Standard Class,Corporate,United States,Lindenhurst,New York,11757,East
471,CA-2014-144666,2014-11-11,Second Class,Consumer,United States,San Francisco,California,94110,West
477,CA-2016-103891,2016-07-19,Standard Class,Corporate,United States,Los Angeles,California,90008,West
478,CA-2016-152632,2016-11-02,Standard Class,Consumer,United States,Troy,New York,12180,East
479,CA-2016-100790,2016-07-02,Standard Class,Corporate,United States,New York City,New York,10024,East
481,CA-2014-134677,2014-10-10,Standard Class,Consumer,United States,San Diego,California,92024,West
482,CA-2014-127691,2014-07-27,Standard Class,Consumer,United States,New York City,New York,10024,East
484,CA-2017-140963,2017-06-13,First Class,Home Office,United States,Los Angeles,California,90045,West
487,CA-2014-154627,2014-10-31,First Class,Consumer,United States,Chicago,Illinois,60610,Central
488,CA-2014-133753,2014-06-13,Second Class,Home Office,United States,Huntsville,Texas,77340,Central
491,CA-2014-113362,2014-09-19,Standard Class,Consumer,United States,Rochester,New York,14609,East
493,CA-2016-169166,2016-05-14,Standard Class,Consumer,United States,Seattle,Washington,98115,West
494,US-2016-120929,2016-03-21,Second Class,Consumer,United States,Memphis,Tennessee,38109,South
495,CA-2015-134782,2015-12-31,Standard Class,Consumer,United States,Fayetteville,Arkansas,72701,South
496,CA-2016-126158,2016-07-31,Standard Class,Consumer,United States,Costa Mesa,California,92627,West
500,US-2016-105578,2016-06-04,Standard Class,Corporate,United States,Parker,Colorado,80134,West
505,CA-2017-134978,2017-11-15,Second Class,Corporate,United States,New York City,New York,10024,East
506,CA-2015-145352,2015-03-22,Standard Class,Consumer,United States,Atlanta,Georgia,30318,South
510,CA-2017-135307,2017-11-27,First Class,Consumer,United States,Gladstone,Missouri,64118,Central
512,CA-2016-106341,2016-10-23,First Class,Consumer,United States,Newark,Ohio,43055,East
513,CA-2017-163405,2017-12-25,Standard Class,Consumer,United States,Los Angeles,California,90049,West
515,CA-2017-127432,2017-01-27,Standard Class,Home Office,United States,Great Falls,Montana,59405,West
519,CA-2015-157812,2015-03-26,Standard Class,Consumer,United States,Houston,Texas,77041,Central
522,CA-2017-145142,2017-01-25,First Class,Corporate,United States,Detroit,Michigan,48234,Central
523,US-2016-139486,2016-05-23,First Class,Consumer,United States,Los Angeles,California,90032,West
525,CA-2015-158792,2016-01-02,Standard Class,Consumer,United States,Lawrence,Massachusetts,1841,East
526,CA-2017-113558,2017-10-26,Standard Class,Home Office,United States,Lakeland,Florida,33801,South
528,US-2015-138303,2015-09-07,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East
531,CA-2015-102848,2015-11-09,Second Class,Corporate,United States,Los Angeles,California,90036,West
532,US-2017-129441,2017-09-11,Standard Class,Consumer,United States,Los Angeles,California,90032,West
533,CA-2016-168753,2016-06-01,Second Class,Consumer,United States,Montgomery,Alabama,36116,South
535,CA-2016-126613,2016-07-16,Standard Class,Consumer,United States,Mesa,Arizona,85204,West
536,US-2017-122637,2017-09-08,Second Class,Consumer,United States,Chicago,Illinois,60653,Central
537,CA-2015-147851,2015-12-08,Standard Class,Home Office,United States,New York City,New York,10009,East
538,CA-2015-134894,2015-12-11,Standard Class,Consumer,United States,Henderson,Kentucky,42420,South
540,CA-2014-140795,2014-02-03,First Class,Consumer,United States,Green Bay,Wisconsin,54302,Central
541,CA-2016-136924,2016-07-17,First Class,Corporate,United States,Tucson,Arizona,85705,West
542,US-2015-120161,2015-12-23,Standard Class,Consumer,United States,Springfield,Ohio,45503,East
543,CA-2014-103849,2014-05-16,Standard Class,Consumer,United States,Fort Worth,Texas,76106,Central
546,CA-2017-162929,2017-11-22,First Class,Home Office,United States,New York City,New York,10035,East
548,CA-2015-113173,2015-11-17,Second Class,Corporate,United States,Chicago,Illinois,60653,Central
551,CA-2016-136406,2016-04-17,Second Class,Consumer,United States,San Francisco,California,94110,West
552,CA-2017-112774,2017-09-12,First Class,Consumer,United States,Jacksonville,Florida,32216,South
553,CA-2017-101945,2017-11-28,Standard Class,Consumer,United States,Houston,Texas,77070,Central
554,CA-2017-100650,2017-07-03,Second Class,Corporate,United States,Anaheim,California,92804,West
555,CA-2014-155852,2014-03-07,Second Class,Consumer,United States,Wilmington,North Carolina,28403,South
556,CA-2016-113243,2016-06-15,Standard Class,Consumer,United States,Los Angeles,California,90045,West
559,CA-2017-118731,2017-11-22,Second Class,Consumer,United States,San Francisco,California,94110,West
561,CA-2014-145576,2014-09-18,Second Class,Consumer,United States,Tampa,Florida,33614,South
563,CA-2015-130736,2015-12-09,First Class,Consumer,United States,Seattle,Washington,98105,West
565,CA-2017-137099,2017-12-10,First Class,Consumer,United States,Los Angeles,California,90008,West
566,CA-2017-156951,2017-10-08,Standard Class,Corporate,United States,Seattle,Washington,98105,West
570,CA-2017-164826,2018-01-04,Standard Class,Consumer,United States,New York City,New York,10024,East
574,CA-2016-127250,2016-11-07,Standard Class,Consumer,United States,Marysville,Washington,98270,West
575,CA-2015-149713,2015-09-22,Second Class,Consumer,United States,Long Beach,California,90805,West
578,CA-2017-118640,2017-07-26,Standard Class,Consumer,United States,Chicago,Illinois,60610,Central
580,CA-2015-132906,2015-09-14,Standard Class,Consumer,United States,Los Angeles,California,90004,West
581,CA-2017-145233,2017-12-05,Standard Class,Consumer,United States,Denver,Colorado,80219,West
586,CA-2015-128139,2015-07-09,Standard Class,Consumer,United States,Richmond,Kentucky,40475,South
588,US-2016-156986,2016-03-24,Standard Class,Consumer,United States,Salem,Oregon,97301,West
592,CA-2014-135405,2014-01-13,Standard Class,Consumer,United States,Laredo,Texas,78041,Central
594,CA-2014-131450,2014-08-15,Standard Class,Consumer,United States,San Diego,California,92024,West
598,CA-2016-120180,2016-07-16,First Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East
599,US-2016-100720,2016-07-21,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East
602,CA-2014-149958,2014-03-19,Standard Class,Consumer,United States,Tampa,Florida,33614,South
607,US-2014-105767,2014-05-27,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East
610,CA-2016-161816,2016-05-01,First Class,Corporate,United States,Dallas,Texas,75217,Central
612,CA-2016-121223,2016-09-13,Second Class,Corporate,United States,Philadelphia,Pennsylvania,19143,East
614,CA-2017-138611,2017-11-17,Second Class,Consumer,United States,Grove City,Ohio,43123,East
616,CA-2017-117947,2017-08-23,Second Class,Corporate,United States,New York City,New York,10011,East
621,US-2014-111171,2014-12-31,Standard Class,Consumer,United States,Chicago,Illinois,60610,Central
622,CA-2015-138009,2015-12-03,Standard Class,Corporate,United States,Dearborn,Michigan,48126,Central
626,CA-2017-163020,2017-09-19,Standard Class,Home Office,United States,New York City,New York,10009,East
627,CA-2017-153787,2017-05-23,Standard Class,Consumer,United States,Seattle,Washington,98115,West
628,CA-2017-133431,2017-12-21,Standard Class,Consumer,United States,San Francisco,California,94122,West
630,US-2016-135720,2016-12-13,Second Class,Consumer,United States,Aurora,Colorado,80013,West
633,CA-2017-144694,2017-09-26,Second Class,Consumer,United States,Miami,Florida,33180,South
635,CA-2015-168004,2015-10-09,Second Class,Corporate,United States,Warner Robins,Georgia,31088,South
636,US-2016-123470,2016-08-21,Standard Class,Consumer,United States,Aurora,Colorado,80013,West
638,CA-2016-115917,2016-05-25,Standard Class,Home Office,United States,Vallejo,California,94591,West
640,CA-2016-147067,2016-12-22,Standard Class,Corporate,United States,Minneapolis,Minnesota,55407,Central
641,CA-2017-167913,2017-08-03,Second Class,Consumer,United States,Mission Viejo,California,92691,West
