Shipment ID,Order ID,Ship Date,Ship Mode,Segment,Country,City,State,Postal Code,Region
358,CA-2016-130001,4/28/2016,Standard Class,Corporate,United States,Charlotte,North Carolina,28205,South
359,CA-2017-155698,3/11/2017,First Class,Corporate,United States,Columbus,Georgia,31907,South
361,CA-2017-144904,10/1/2017,Standard Class,Consumer,United States,New York City,New York,10009,East
365,CA-2014-123344,9/29/2014,Standard Class,Consumer,United States,San Francisco,California,94109,West
366,CA-2016-155516,10/21/2016,Same Day,Corporate,United States,Manchester,Connecticut,6040,East
370,CA-2017-104745,6/4/2017,Standard Class,Consumer,United States,Harlingen,Texas,78550,Central
372,US-2014-119137,7/27/2014,Standard Class,Consumer,United States,Tucson,Arizona,85705,West
376,US-2016-134656,10/1/2016,First Class,Corporate,United States,Quincy,Illinois,62301,Central
377,US-2017-134481,9/1/2017,Standard Class,Corporate,United States,Franklin,Massachusetts,2038,East
378,CA-2015-130792,5/5/2015,Standard Class,Consumer,United States,Houston,Texas,77095,Central
381,CA-2016-134775,10/29/2016,First Class,Corporate,United States,San Francisco,California,94109,West
383,CA-2015-125395,6/29/2015,Second Class,Corporate,United States,Taylor,Michigan,48180,Central
384,US-2015-168935,12/2/2015,Standard Class,Consumer,United States,Pembroke Pines,Florida,33024,South
386,CA-2015-122756,12/7/2015,Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East
388,CA-2014-115973,11/26/2014,First Class,Consumer,United States,Cincinnati,Ohio,45231,East
389,CA-2017-101798,12/15/2017,Standard Class,Consumer,United States,New York City,New York,10009,East
391,US-2014-135972,9/23/2014,Second Class,Consumer,United States,Des Moines,Washington,98198,West
393,US-2014-134971,6/10/2014,Second Class,Corporate,United States,Peoria,Illinois,61604,Central
394,CA-2017-102946,7/5/2017,Standard Class,Home Office,United States,Las Vegas,Nevada,89115,West
395,CA-2017-165603,10/19/2017,Second Class,Corporate,United States,Warwick,Rhode Island,2886,East
397,CA-2015-122259,11/4/2015,Standard Class,Home Office,United States,Jackson,Michigan,49201,Central
398,CA-2016-108987,9/10/2016,Second Class,Consumer,United States,Houston,Texas,77036,Central
402,CA-2014-113166,12/26/2014,First Class,Consumer,United States,Miami,Florida,33180,South
403,CA-2014-155208,4/20/2014,Standard Class,Corporate,United States,Wilmington,North Carolina,28403,South
404,CA-2017-117933,12/29/2017,Standard Class,Consumer,United States,New York City,New York,10024,East
405,CA-2017-117457,12/12/2017,Standard Class,Consumer,United States,San Francisco,California,94110,West
414,CA-2017-142636,11/7/2017,Standard Class,Corporate,United States,Seattle,Washington,98105,West
416,CA-2017-122105,6/28/2017,Standard Class,Consumer,United States,Huntington Beach,California,92646,West
417,CA-2016-148796,4/18/2016,Standard Class,Consumer,United States,Los Angeles,California,90004,West
418,CA-2017-154816,11/10/2017,Standard Class,Corporate,United States,Richmond,Kentucky,40475,South
419,CA-2017-110478,3/9/2017,Standard Class,Corporate,United States,Los Angeles,California,90045,West
421,CA-2014-142048,6/25/2014,First Class,Consumer,United States,Louisville,Colorado,80027,West
422,CA-2017-125388,10/23/2017,Standard Class,Corporate,United States,Lawrence,Massachusetts,1841,East
424,CA-2017-155705,8/23/2017,Second Class,Consumer,United States,Jackson,Mississippi,39212,South
425,CA-2017-149160,11/26/2017,Second Class,Corporate,United States,Canton,Michigan,48187,Central
427,CA-2014-101476,9/13/2014,First Class,Home Office,United States,New Rochelle,New York,10801,East
428,CA-2017-152275,10/8/2017,Standard Class,Corporate,United States,San Antonio,Texas,78207,Central
429,US-2016-123750,4/21/2016,Standard Class,Home Office,United States,Gastonia,North Carolina,28052,South
433,CA-2016-127369,6/7/2016,First Class,Consumer,United States,Lowell,Massachusetts,1852,East
434,US-2014-150574,12/25/2014,Standard Class,Consumer,United States,Jacksonville,Florida,32216,South
436,CA-2016-147375,6/14/2016,Second Class,Home Office,United States,Chicago,Illinois,60623,Central
438,CA-2017-130043,9/19/2017,Standard Class,Corporate,United States,Houston,Texas,77070,Central
439,CA-2017-157252,1/23/2017,Second Class,Corporate,United States,New York City,New York,10024,East
440,CA-2016-115756,9/7/2016,Second Class,Consumer,United States,Detroit,Michigan,48227,Central
446,CA-2017-154214,3/25/2017,Second Class,Consumer,United States,Columbus,Indiana,47201,Central
447,CA-2016-166674,4/3/2016,Second Class,Consumer,United States,Auburn,New York,13021,East
453,CA-2017-147277,10/24/2017,Standard Class,Corporate,United States,Akron,Ohio,44312,East
455,CA-2016-100153,12/17/2016,Standard Class,Corporate,United States,Norman,Oklahoma,73071,Central
456,US-2014-110674,2/18/2014,Standard Class,Consumer,United States,Concord,California,94521,West
457,US-2016-157945,10/1/2016,Standard Class,Consumer,United States,Decatur,Illinois,62521,Central
459,CA-2015-109638,12/22/2015,Standard Class,Consumer,United States,Seattle,Washington,98115,West
462,CA-2016-109869,4/29/2016,Standard Class,Home Office,United States,Phoenix,Arizona,85023,West
467,US-2015-101399,1/24/2015,Standard Class,Home Office,United States,Park Ridge,Illinois,60068,Central
468,CA-2017-154907,4/4/2017,Standard Class,Corporate,United States,Amarillo,Texas,79109,Central
469,US-2016-100419,12/20/2016,Second Class,Consumer,United States,Chicago,Illinois,60610,Central
470,CA-2015-154144,12/24/2015,Standard Class,Corporate,United States,Lindenhurst,New York,11757,East
471,CA-2014-144666,11/11/2014,Second Class,Consumer,United States,San Francisco,California,94110,West
477,CA-2016-103891,7/19/2016,Standard Class,Corporate,United States,Los Angeles,California,90008,West
478,CA-2016-152632,11/2/2016,Standard Class,Consumer,United States,Troy,New York,12180,East
479,CA-2016-100790,7/2/2016,Standard Class,Corporate,United States,New York City,New York,10024,East
481,CA-2014-134677,10/10/2014,Standard Class,Consumer,United States,San Diego,California,92024,West
482,CA-2014-127691,7/27/2014,Standard Class,Consumer,United States,New York City,New York,10024,East
484,CA-2017-140963,6/13/2017,First Class,Home Office,United States,Los Angeles,California,90045,West
487,CA-2014-154627,10/31/2014,First Class,Consumer,United States,Chicago,Illinois,60610,Central
488,CA-2014-133753,6/13/2014,Second Class,Home Office,United States,Huntsville,Texas,77340,Central
491,CA-2014-113362,9/19/2014,Standard Class,Consumer,United States,Rochester,New York,14609,East
493,CA-2016-169166,5/14/2016,Standard Class,Consumer,United States,Seattle,Washington,98115,West
494,US-2016-120929,3/21/2016,Second Class,Consumer,United States,Memphis,Tennessee,38109,South
495,CA-2015-134782,12/31/2015,Standard Class,Consumer,United States,Fayetteville,Arkansas,72701,South
496,CA-2016-126158,7/31/2016,Standard Class,Consumer,United States,Costa Mesa,California,92627,West
500,US-2016-105578,6/4/2016,Standard Class,Corporate,United States,Parker,Colorado,80134,West
505,CA-2017-134978,11/15/2017,Second Class,Corporate,United States,New York City,New York,10024,East
506,CA-2015-145352,3/22/2015,Standard Class,Consumer,United States,Atlanta,Georgia,30318,South
510,CA-2017-135307,11/27/2017,First Class,Consumer,United States,Gladstone,Missouri,64118,Central
512,CA-2016-106341,10/23/2016,First Class,Consumer,United States,Newark,Ohio,43055,East
513,CA-2017-163405,12/25/2017,Standard Class,Consumer,United States,Los Angeles,California,90049,West
515,CA-2017-127432,1/27/2017,Standard Class,Home Office,United States,Great Falls,Montana,59405,West
519,CA-2015-157812,3/26/2015,Standard Class,Consumer,United States,Houston,Texas,77041,Central
522,CA-2017-145142,1/25/2017,First Class,Corporate,United States,Detroit,Michigan,48234,Central
523,US-2016-139486,5/23/2016,First Class,Consumer,United States,Los Angeles,California,90032,West
525,CA-2015-158792,1/2/2016,Standard Class,Consumer,United States,Lawrence,Massachusetts,1841,East
526,CA-2017-113558,10/26/2017,Standard Class,Home Office,United States,Lakeland,Florida,33801,South
528,US-2015-138303,9/7/2015,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East
531,CA-2015-102848,11/9/2015,Second Class,Corporate,United States,Los Angeles,California,90036,West
532,US-2017-129441,9/11/2017,Standard Class,Consumer,United States,Los Angeles,California,90032,West
533,CA-2016-168753,6/1/2016,Second Class,Consumer,United States,Montgomery,Alabama,36116,South
535,CA-2016-126613,7/16/2016,Standard Class,Consumer,United States,Mesa,Arizona,85204,West
536,US-2017-122637,9/8/2017,Second Class,Consumer,United States,Chicago,Illinois,60653,Central
537,CA-2015-147851,12/8/2015,Standard Class,Home Office,United States,New York City,New York,10009,East
538,CA-2015-134894,12/11/2015,Standard Class,Consumer,United States,Henderson,Kentucky,42420,South
540,CA-2014-140795,2/3/2014,First Class,Consumer,United States,Green Bay,Wisconsin,54302,Central
541,CA-2016-136924,7/17/2016,First Class,Corporate,United States,Tucson,Arizona,85705,West
542,US-2015-120161,12/23/2015,Standard Class,Consumer,United States,Springfield,Ohio,45503,East
543,CA-2014-103849,5/16/2014,Standard Class,Consumer,United States,Fort Worth,Texas,76106,Central
546,CA-2017-162929,11/22/2017,First Class,Home Office,United States,New York City,New York,10035,East
548,CA-2015-113173,11/17/2015,Second Class,Corporate,United States,Chicago,Illinois,60653,Central
551,CA-2016-136406,4/17/2016,Second Class,Consumer,United States,San Francisco,California,94110,West
552,CA-2017-112774,9/12/2017,First Class,Consumer,United States,Jacksonville,Florida,32216,South
553,CA-2017-101945,11/28/2017,Standard Class,Consumer,United States,Houston,Texas,77070,Central
554,CA-2017-100650,7/3/2017,Second Class,Corporate,United States,Anaheim,California,92804,West
555,CA-2014-155852,3/7/2014,Second Class,Consumer,United States,Wilmington,North Carolina,28403,South
556,CA-2016-113243,6/15/2016,Standard Class,Consumer,United States,Los Angeles,California,90045,West
559,CA-2017-118731,11/22/2017,Second Class,Consumer,United States,San Francisco,California,94110,West
561,CA-2014-145576,9/18/2014,Second Class,Consumer,United States,Tampa,Florida,33614,South
563,CA-2015-130736,12/9/2015,First Class,Consumer,United States,Seattle,Washington,98105,West
565,CA-2017-137099,12/10/2017,First Class,Consumer,United States,Los Angeles,California,90008,West
566,CA-2017-156951,10/8/2017,Standard Class,Corporate,United States,Seattle,Washington,98105,West
570,CA-2017-164826,1/4/2018,Standard Class,Consumer,United States,New York City,New York,10024,East
574,CA-2016-127250,11/7/2016,Standard Class,Consumer,United States,Marysville,Washington,98270,West
575,CA-2015-149713,9/22/2015,Second Class,Consumer,United States,Long Beach,California,90805,West
578,CA-2017-118640,7/26/2017,Standard Class,Consumer,United States,Chicago,Illinois,60610,Central
580,CA-2015-132906,9/14/2015,Standard Class,Consumer,United States,Los Angeles,California,90004,West
581,CA-2017-145233,12/5/2017,Standard Class,Consumer,United States,Denver,Colorado,80219,West
586,CA-2015-128139,7/9/2015,Standard Class,Consumer,United States,Richmond,Kentucky,40475,South
588,US-2016-156986,3/24/2016,Standard Class,Consumer,United States,Salem,Oregon,97301,West
592,CA-2014-135405,1/13/2014,Standard Class,Consumer,United States,Laredo,Texas,78041,Central
594,CA-2014-131450,8/15/2014,Standard Class,Consumer,United States,San Diego,California,92024,West
598,CA-2016-120180,7/16/2016,First Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East
599,US-2016-100720,7/21/2016,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East
602,CA-2014-149958,3/19/2014,Standard Class,Consumer,United States,Tampa,Florida,33614,South
607,US-2014-105767,5/27/2014,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East
610,CA-2016-161816,5/1/2016,First Class,Corporate,United States,Dallas,Texas,75217,Central
612,CA-2016-121223,9/13/2016,Second Class,Corporate,United States,Philadelphia,Pennsylvania,19143,East
614,CA-2017-138611,11/17/2017,Second Class,Consumer,United States,Grove City,Ohio,43123,East
616,CA-2017-117947,8/23/2017,Second Class,Corporate,United States,New York City,New York,10011,East
621,US-2014-111171,12/31/2014,Standard Class,Consumer,United States,Chicago,Illinois,60610,Central
622,CA-2015-138009,12/3/2015,Standard Class,Corporate,United States,Dearborn,Michigan,48126,Central
626,CA-2017-163020,9/19/2017,Standard Class,Home Office,United States,New York City,New York,10009,East
627,CA-2017-153787,5/23/2017,Standard Class,Consumer,United States,Seattle,Washington,98115,West
628,CA-2017-133431,12/21/2017,Standard Class,Consumer,United States,San Francisco,California,94122,West
630,US-2016-135720,12/13/2016,Second Class,Consumer,United States,Aurora,Colorado,80013,West
633,CA-2017-144694,9/26/2017,Second Class,Consumer,United States,Miami,Florida,33180,South
635,CA-2015-168004,10/9/2015,Second Class,Corporate,United States,Warner Robins,Georgia,31088,South
636,US-2016-123470,8/21/2016,Standard Class,Consumer,United States,Aurora,Colorado,80013,West
638,CA-2016-115917,5/25/2016,Standard Class,Home Office,United States,Vallejo,California,94591,West
640,CA-2016-147067,12/22/2016,Standard Class,Corporate,United States,Minneapolis,Minnesota,55407,Central
641,CA-2017-167913,8/3/2017,Second Class,Consumer,United States,Mission Viejo,California,92691,West
643,CA-2017-106103,6/15/2017,Standard Class,Consumer,United States,Rochester Hills,Michigan,48307,Central
