ORDER_PRODUCT_ID,ORDER_ID,CUSTOMER_ID,PRODUCT_ID,SALES,QUANTITY,DISCOUNT,PROFIT,ORDER_DATE,SHIP_DATE,SHIP_MODE,REGION
14,US-2015-118983,HP-14815,OFF-AP-10002311,68.8100,5,0.80,-123.8580,2015-11-22,2015-11-26,Standard Class,Central
15,US-2015-118983,HP-14815,OFF-BI-10000756,2.5440,3,0.80,-3.8160,2015-11-22,2015-11-26,Standard Class,Central
16,CA-2014-105893,PK-19075,OFF-ST-10004186,665.8800,6,0.00,13.3176,2014-11-11,2014-11-18,Standard Class,Central
17,CA-2014-167164,AG-10270,OFF-ST-10000107,55.5000,2,0.00,9.9900,2014-05-13,2014-05-15,Second Class,West
18,CA-2014-143336,ZD-21925,OFF-AR-10003056,8.5600,2,0.00,2.4824,2014-08-27,2014-09-01,Second Class,West
19,CA-2014-143336,ZD-21925,TEC-PH-10001949,213.4800,3,0.20,16.0110,2014-08-27,2014-09-01,Second Class,West
20,CA-2014-143336,ZD-21925,OFF-BI-10002215,22.7200,4,0.20,7.3840,2014-08-27,2014-09-01,Second Class,West
21,CA-2016-137330,KB-16585,OFF-AR-10000246,19.4600,7,0.00,5.0596,2016-12-09,2016-12-13,Standard Class,Central
22,CA-2016-137330,KB-16585,OFF-AP-10001492,60.3400,7,0.00,15.6884,2016-12-09,2016-12-13,Standard Class,Central
23,US-2017-156909,SF-20065,FUR-CH-10002774,71.3720,2,0.30,-1.0196,2017-07-16,2017-07-18,Second Class,East
24,CA-2015-106320,EB-13870,FUR-TA-10000577,1044.6300,3,0.00,240.2649,2015-09-25,2015-09-30,Standard Class,West
25,CA-2016-121755,EH-13945,OFF-BI-10001634,11.6480,2,0.20,4.2224,2016-01-16,2016-01-20,Second Class,West
26,CA-2016-121755,EH-13945,TEC-AC-10003027,90.5700,3,0.00,11.7741,2016-01-16,2016-01-20,Second Class,West
27,US-2015-150630,TB-21520,FUR-BO-10004834,3083.4300,7,0.50,-1665.0522,2015-09-17,2015-09-21,Standard Class,East
28,US-2015-150630,TB-21520,OFF-BI-10000474,9.6180,2,0.70,-7.0532,2015-09-17,2015-09-21,Standard Class,East
29,US-2015-150630,TB-21520,FUR-FU-10004848,124.2000,3,0.20,15.5250,2015-09-17,2015-09-21,Standard Class,East
30,US-2015-150630,TB-21520,OFF-EN-10001509,3.2640,2,0.20,1.1016,2015-09-17,2015-09-21,Standard Class,East
31,US-2015-150630,TB-21520,OFF-AR-10004042,86.3040,6,0.20,9.7092,2015-09-17,2015-09-21,Standard Class,East
32,US-2015-150630,TB-21520,OFF-BI-10001525,6.8580,6,0.70,-5.7150,2015-09-17,2015-09-21,Standard Class,East
33,US-2015-150630,TB-21520,OFF-AR-10001683,15.7600,2,0.20,3.5460,2015-09-17,2015-09-21,Standard Class,East
34,CA-2017-107727,MA-17560,OFF-PA-10000249,29.4720,3,0.20,9.9468,2017-10-19,2017-10-23,Second Class,Central
35,CA-2016-117590,GH-14485,TEC-PH-10004977,1097.5440,7,0.20,123.4737,2016-12-08,2016-12-10,First Class,Central
36,CA-2016-117590,GH-14485,FUR-FU-10003664,190.9200,5,0.60,-147.9630,2016-12-08,2016-12-10,First Class,Central
37,CA-2015-117415,SN-20710,OFF-EN-10002986,113.3280,9,0.20,35.4150,2015-12-27,2015-12-31,Standard Class,Central
38,CA-2015-117415,SN-20710,FUR-BO-10002545,532.3992,3,0.32,-46.9764,2015-12-27,2015-12-31,Standard Class,Central
39,CA-2015-117415,SN-20710,FUR-CH-10004218,212.0580,3,0.30,-15.1470,2015-12-27,2015-12-31,Standard Class,Central
40,CA-2015-117415,SN-20710,TEC-PH-10000486,371.1680,4,0.20,41.7564,2015-12-27,2015-12-31,Standard Class,Central
41,CA-2017-120999,LC-16930,TEC-PH-10004093,147.1680,4,0.20,16.5564,2017-09-10,2017-09-15,Standard Class,Central
42,CA-2016-101343,RA-19885,OFF-ST-10003479,77.8800,2,0.00,3.8940,2016-07-17,2016-07-22,Standard Class,West
43,CA-2017-139619,ES-14080,OFF-ST-10003282,95.6160,2,0.20,9.5616,2017-09-19,2017-09-23,Standard Class,South
44,CA-2016-118255,ON-18715,TEC-AC-10000171,45.9800,2,0.00,19.7714,2016-03-11,2016-03-13,First Class,Central
45,CA-2016-118255,ON-18715,OFF-BI-10003291,17.4600,2,0.00,8.2062,2016-03-11,2016-03-13,First Class,Central
46,CA-2014-146703,PO-18865,OFF-ST-10001713,211.9600,4,0.00,8.4784,2014-10-20,2014-10-25,Second Class,Central
47,CA-2016-169194,LH-16900,TEC-AC-10002167,45.0000,3,0.00,4.9500,2016-06-20,2016-06-25,Standard Class,East
48,CA-2016-169194,LH-16900,TEC-PH-10003988,21.8000,2,0.00,6.1040,2016-06-20,2016-06-25,Standard Class,East
49,CA-2015-115742,DP-13000,OFF-BI-10004410,38.2200,6,0.00,17.9634,2015-04-18,2015-04-22,Standard Class,Central
50,CA-2015-115742,DP-13000,OFF-LA-10002762,75.1800,6,0.00,35.3346,2015-04-18,2015-04-22,Standard Class,Central
51,CA-2015-115742,DP-13000,FUR-FU-10001706,6.1600,2,0.00,2.9568,2015-04-18,2015-04-22,Standard Class,Central
52,CA-2015-115742,DP-13000,FUR-CH-10003061,89.9900,1,0.00,17.0981,2015-04-18,2015-04-22,Standard Class,Central
53,CA-2016-105816,JM-15265,OFF-FA-10000304,15.2600,7,0.00,6.2566,2016-12-11,2016-12-17,Standard Class,East
54,CA-2016-105816,JM-15265,TEC-PH-10002447,1029.9500,5,0.00,298.6855,2016-12-11,2016-12-17,Standard Class,East
55,CA-2016-111682,TB-21055,OFF-ST-10000604,208.5600,6,0.00,52.1400,2016-06-17,2016-06-18,First Class,East
56,CA-2016-111682,TB-21055,OFF-PA-10001569,32.4000,5,0.00,15.5520,2016-06-17,2016-06-18,First Class,East
57,CA-2016-111682,TB-21055,FUR-CH-10003968,319.4100,5,0.10,7.0980,2016-06-17,2016-06-18,First Class,East
58,CA-2016-111682,TB-21055,OFF-PA-10000587,14.5600,2,0.00,6.9888,2016-06-17,2016-06-18,First Class,East
59,CA-2016-111682,TB-21055,TEC-AC-10002167,30.0000,2,0.00,3.3000,2016-06-17,2016-06-18,First Class,East
60,CA-2016-111682,TB-21055,OFF-BI-10001460,48.4800,4,0.20,16.3620,2016-06-17,2016-06-18,First Class,East
61,CA-2016-111682,TB-21055,OFF-AR-10001868,1.6800,1,0.00,0.8400,2016-06-17,2016-06-18,First Class,East
62,CA-2015-135545,KM-16720,TEC-AC-10004633,13.9800,2,0.00,6.1512,2015-11-24,2015-11-30,Standard Class,West
63,CA-2015-135545,KM-16720,OFF-BI-10001078,25.8240,6,0.20,9.3612,2015-11-24,2015-11-30,Standard Class,West
64,CA-2015-135545,KM-16720,OFF-PA-10003892,146.7300,3,0.00,68.9631,2015-11-24,2015-11-30,Standard Class,West
65,CA-2015-135545,KM-16720,FUR-FU-10000397,79.7600,4,0.00,22.3328,2015-11-24,2015-11-30,Standard Class,West
66,US-2015-164175,PS-18970,FUR-CH-10001146,213.1150,5,0.30,-15.2225,2015-04-30,2015-05-05,Standard Class,Central
67,CA-2014-106376,BS-11590,OFF-AR-10002671,1113.0240,8,0.20,111.3024,2014-12-05,2014-12-10,Standard Class,West
68,CA-2014-106376,BS-11590,TEC-PH-10002726,167.9680,4,0.20,62.9880,2014-12-05,2014-12-10,Standard Class,West
69,CA-2016-119823,KD-16270,OFF-PA-10000482,75.8800,2,0.00,35.6636,2016-06-04,2016-06-06,First Class,South
70,CA-2016-106075,HM-14980,OFF-BI-10004654,4.6160,1,0.20,1.7310,2016-09-18,2016-09-23,Standard Class,East
71,CA-2017-114440,TB-21520,OFF-PA-10004675,19.0500,3,0.00,8.7630,2017-09-14,2017-09-17,Second Class,Central
72,US-2015-134026,JE-15745,FUR-CH-10000513,831.9360,8,0.20,-114.3912,2015-04-26,2015-05-02,Standard Class,South
73,US-2015-134026,JE-15745,FUR-FU-10003708,97.0400,2,0.20,1.2130,2015-04-26,2015-05-02,Standard Class,South
74,US-2015-134026,JE-15745,OFF-ST-10004123,72.7840,1,0.20,-18.1960,2015-04-26,2015-05-02,Standard Class,South
75,US-2017-118038,KB-16600,OFF-BI-10004182,1.2480,3,0.80,-1.9344,2017-12-09,2017-12-11,First Class,Central
76,US-2017-118038,KB-16600,FUR-FU-10000260,9.7080,3,0.60,-5.8248,2017-12-09,2017-12-11,First Class,Central
77,US-2017-118038,KB-16600,OFF-ST-10000615,27.2400,3,0.20,2.7240,2017-12-09,2017-12-11,First Class,Central
78,US-2014-147606,JE-15745,FUR-FU-10003194,19.3000,5,0.60,-14.4750,2014-11-26,2014-12-01,Second Class,Central
79,CA-2016-127208,SC-20770,OFF-AP-10002118,208.1600,1,0.00,56.2032,2016-06-12,2016-06-15,First Class,South
80,CA-2016-127208,SC-20770,OFF-BI-10002309,16.7400,3,0.00,8.0352,2016-06-12,2016-06-15,First Class,South
81,CA-2014-139451,DN-13690,OFF-AR-10002053,14.9000,5,0.00,4.1720,2014-10-12,2014-10-16,Standard Class,West
82,CA-2014-139451,DN-13690,OFF-ST-10002370,21.3900,1,0.00,6.2031,2014-10-12,2014-10-16,Standard Class,West
83,CA-2015-149734,JC-16105,OFF-EN-10000927,200.9840,7,0.20,62.8075,2015-09-03,2015-09-08,Standard Class,South
84,US-2017-119662,CS-12400,OFF-ST-10003656,230.3760,3,0.20,-48.9549,2017-11-13,2017-11-16,First Class,Central
85,CA-2017-140088,PO-18865,FUR-CH-10000863,301.9600,2,0.00,33.2156,2017-05-28,2017-05-30,Second Class,South
86,CA-2017-155558,PG-18895,TEC-AC-10001998,19.9900,1,0.00,6.7966,2017-10-26,2017-11-02,Standard Class,Central
87,CA-2017-155558,PG-18895,OFF-LA-10000134,6.1600,2,0.00,2.9568,2017-10-26,2017-11-02,Standard Class,Central
88,CA-2016-159695,GM-14455,OFF-ST-10003442,158.3680,7,0.20,13.8572,2016-04-05,2016-04-10,Second Class,Central
89,CA-2016-109806,JS-15685,OFF-AR-10004930,20.1000,3,0.00,6.6330,2016-09-17,2016-09-22,Standard Class,West
90,CA-2016-109806,JS-15685,TEC-PH-10004093,73.5840,2,0.20,8.2782,2016-09-17,2016-09-22,Standard Class,West
91,CA-2016-109806,JS-15685,OFF-PA-10000304,6.4800,1,0.00,3.1104,2016-09-17,2016-09-22,Standard Class,West
92,CA-2015-149587,KB-16315,OFF-PA-10003177,12.9600,2,0.00,6.2208,2015-01-31,2015-02-05,Second Class,Central
93,CA-2015-149587,KB-16315,FUR-FU-10003799,53.3400,3,0.00,16.5354,2015-01-31,2015-02-05,Second Class,Central
94,CA-2015-149587,KB-16315,OFF-BI-10002852,32.9600,2,0.00,16.1504,2015-01-31,2015-02-05,Second Class,Central
95,US-2017-109484,RB-19705,OFF-BI-10004738,5.6820,1,0.70,-3.7880,2017-11-06,2017-11-12,Standard Class,West
96,CA-2017-161018,PN-18775,FUR-FU-10000629,96.5300,7,0.00,40.5426,2017-11-09,2017-11-11,Second Class,East
97,CA-2017-157833,KD-16345,OFF-BI-10001721,51.3120,3,0.20,17.9592,2017-06-17,2017-06-20,First Class,West
98,CA-2016-149223,ER-13855,OFF-AP-10000358,77.8800,6,0.00,22.5852,2016-09-06,2016-09-11,Standard Class,Central
99,CA-2016-158568,RB-19465,OFF-PA-10003256,64.6240,7,0.20,22.6184,2016-08-29,2016-09-02,Standard Class,Central
100,CA-2016-158568,RB-19465,TEC-AC-10001767,95.9760,3,0.20,-10.7973,2016-08-29,2016-09-02,Standard Class,Central
101,CA-2016-158568,RB-19465,OFF-BI-10002609,1.7880,3,0.80,-3.0396,2016-08-29,2016-09-02,Standard Class,Central
102,CA-2016-129903,GZ-14470,OFF-PA-10004040,23.9200,4,0.00,11.7208,2016-12-01,2016-12-04,Second Class,Central
103,US-2015-156867,LC-16870,TEC-AC-10001552,238.8960,6,0.20,-26.8758,2015-11-13,2015-11-17,Standard Class,West
104,US-2015-156867,LC-16870,FUR-FU-10004006,102.3600,3,0.20,-3.8385,2015-11-13,2015-11-17,Standard Class,West
105,US-2015-156867,LC-16870,OFF-BI-10002794,36.8820,3,0.70,-25.8174,2015-11-13,2015-11-17,Standard Class,West
106,CA-2017-119004,JM-15250,TEC-AC-10003499,74.1120,8,0.20,17.6016,2017-11-23,2017-11-28,Standard Class,South
107,CA-2017-119004,JM-15250,TEC-PH-10002844,27.9920,1,0.20,2.0994,2017-11-23,2017-11-28,Standard Class,South
108,CA-2017-119004,JM-15250,OFF-AR-10000390,3.3040,1,0.20,1.0738,2017-11-23,2017-11-28,Standard Class,South
109,CA-2015-129476,PA-19060,TEC-AC-10000844,339.9600,5,0.20,67.9920,2015-10-15,2015-10-20,Standard Class,Central
110,CA-2017-146780,CV-12805,FUR-FU-10001934,41.9600,2,0.00,10.9096,2017-12-25,2017-12-30,Standard Class,East
111,CA-2016-128867,CL-12565,OFF-AR-10000380,75.9600,2,0.00,22.7880,2016-11-03,2016-11-10,Standard Class,Central
112,CA-2016-128867,CL-12565,OFF-BI-10003981,27.2400,6,0.00,13.3476,2016-11-03,2016-11-10,Standard Class,Central
113,CA-2014-115259,RC-19960,OFF-FA-10000621,40.0960,14,0.20,14.5348,2014-08-25,2014-08-27,Second Class,East
114,CA-2014-115259,RC-19960,OFF-EN-10002600,4.7200,2,0.20,1.6520,2014-08-25,2014-08-27,Second Class,East
115,CA-2014-115259,RC-19960,OFF-PA-10004965,23.9760,3,0.20,7.4925,2014-08-25,2014-08-27,Second Class,East
116,CA-2014-115259,RC-19960,OFF-EN-10002504,130.4640,6,0.20,44.0316,2014-08-25,2014-08-27,Second Class,East
117,CA-2015-110457,DK-13090,FUR-TA-10001768,787.5300,3,0.00,165.3813,2015-03-02,2015-03-06,Standard Class,West
118,US-2015-136476,GG-14650,OFF-BI-10003650,157.7940,1,0.70,-115.7156,2015-04-05,2015-04-10,Standard Class,South
119,CA-2016-103730,SC-20725,FUR-FU-10002157,47.0400,3,0.00,18.3456,2016-06-12,2016-06-15,First Class,East
120,CA-2016-103730,SC-20725,OFF-BI-10003910,30.8400,4,0.00,13.8780,2016-06-12,2016-06-15,First Class,East
121,CA-2016-103730,SC-20725,OFF-ST-10000777,226.5600,6,0.00,63.4368,2016-06-12,2016-06-15,First Class,East
122,CA-2016-103730,SC-20725,OFF-EN-10002500,115.0200,9,0.00,51.7590,2016-06-12,2016-06-15,First Class,East
123,CA-2016-103730,SC-20725,TEC-PH-10003875,68.0400,7,0.00,19.7316,2016-06-12,2016-06-15,First Class,East
124,US-2014-152030,AD-10180,FUR-CH-10004063,600.5580,3,0.30,-8.5794,2014-12-26,2014-12-28,Second Class,Central
125,US-2014-134614,PF-19165,FUR-TA-10004534,617.7000,6,0.50,-407.6820,2014-09-20,2014-09-25,Standard Class,Central
126,US-2017-107272,TS-21610,OFF-BI-10003274,2.3880,2,0.70,-1.8308,2017-11-05,2017-11-12,Standard Class,West
127,US-2017-107272,TS-21610,OFF-ST-10002974,243.9920,7,0.20,30.4990,2017-11-05,2017-11-12,Standard Class,West
128,US-2016-125969,LS-16975,FUR-CH-10001146,81.4240,2,0.20,-9.1602,2016-11-06,2016-11-10,Second Class,West
129,US-2016-125969,LS-16975,FUR-FU-10003773,238.5600,3,0.00,26.2416,2016-11-06,2016-11-10,Second Class,West
130,US-2017-164147,DW-13585,TEC-PH-10002293,59.9700,5,0.40,-11.9940,2017-02-02,2017-02-05,First Class,East
131,US-2017-164147,DW-13585,OFF-PA-10002377,78.3040,2,0.20,29.3640,2017-02-02,2017-02-05,First Class,East
132,US-2017-164147,DW-13585,OFF-FA-10002780,21.4560,9,0.20,6.9732,2017-02-02,2017-02-05,First Class,East
133,CA-2016-145583,LC-16885,OFF-PA-10001804,20.0400,3,0.00,9.6192,2016-10-13,2016-10-19,Standard Class,West
134,CA-2016-145583,LC-16885,OFF-PA-10001736,35.4400,1,0.00,16.6568,2016-10-13,2016-10-19,Standard Class,West
135,CA-2016-145583,LC-16885,OFF-AR-10001149,11.5200,4,0.00,3.4560,2016-10-13,2016-10-19,Standard Class,West
136,CA-2016-145583,LC-16885,OFF-FA-10002988,4.0200,2,0.00,1.9698,2016-10-13,2016-10-19,Standard Class,West
137,CA-2016-145583,LC-16885,OFF-BI-10004781,76.1760,3,0.20,26.6616,2016-10-13,2016-10-19,Standard Class,West
138,CA-2016-145583,LC-16885,OFF-SU-10001218,65.8800,6,0.00,18.4464,2016-10-13,2016-10-19,Standard Class,West
139,CA-2016-145583,LC-16885,FUR-FU-10001706,43.1200,14,0.00,20.6976,2016-10-13,2016-10-19,Standard Class,West
140,CA-2016-110366,JD-15895,FUR-FU-10004848,82.8000,2,0.20,10.3500,2016-09-05,2016-09-07,Second Class,East
141,CA-2017-106180,SH-19975,OFF-AR-10000940,8.8200,3,0.00,2.3814,2017-09-18,2017-09-23,Standard Class,West
142,CA-2017-106180,SH-19975,OFF-EN-10004030,10.8600,3,0.00,5.1042,2017-09-18,2017-09-23,Standard Class,West
143,CA-2017-106180,SH-19975,OFF-PA-10004327,143.7000,3,0.00,68.9760,2017-09-18,2017-09-23,Standard Class,West
144,CA-2017-155376,SG-20080,OFF-AP-10001058,839.4300,3,0.00,218.2518,2017-12-22,2017-12-27,Standard Class,Central
145,CA-2015-110744,HA-14920,OFF-ST-10003656,671.9300,7,0.00,20.1579,2015-09-07,2015-09-12,Standard Class,West
146,CA-2014-110072,MG-17680,FUR-FU-10000521,93.8880,4,0.20,12.9096,2014-10-22,2014-10-28,Standard Class,East
147,CA-2016-114489,JE-16165,TEC-PH-10000215,384.4500,11,0.00,103.8015,2016-12-05,2016-12-09,Standard Class,Central
148,CA-2016-114489,JE-16165,TEC-PH-10001448,149.9700,3,0.00,5.9988,2016-12-05,2016-12-09,Standard Class,Central
149,CA-2016-114489,JE-16165,FUR-CH-10000454,1951.8400,8,0.00,585.5520,2016-12-05,2016-12-09,Standard Class,Central
150,CA-2016-114489,JE-16165,OFF-BI-10002735,171.5500,5,0.00,80.6285,2016-12-05,2016-12-09,Standard Class,Central
151,CA-2016-158834,TW-21025,OFF-AP-10000326,157.9200,5,0.20,17.7660,2016-03-13,2016-03-16,First Class,West
152,CA-2016-158834,TW-21025,TEC-PH-10001254,203.1840,2,0.20,15.2388,2016-03-13,2016-03-16,First Class,West
153,CA-2015-124919,SP-20650,OFF-PA-10001950,58.3800,7,0.00,26.2710,2015-05-31,2015-06-02,First Class,West
154,CA-2015-124919,SP-20650,OFF-PA-10002254,105.5200,4,0.00,48.5392,2015-05-31,2015-06-02,First Class,West
155,CA-2015-124919,SP-20650,OFF-ST-10001590,80.8800,6,0.00,21.0288,2015-05-31,2015-06-02,First Class,West
156,CA-2015-118948,NK-18490,OFF-AR-10001547,6.6300,3,0.00,1.7901,2015-05-28,2015-06-03,Standard Class,West
157,CA-2014-104269,DB-13060,FUR-CH-10004063,457.5680,2,0.20,51.4764,2014-03-01,2014-03-06,Second Class,West
158,CA-2016-114104,NP-18670,OFF-LA-10002475,14.6200,2,0.00,6.8714,2016-11-20,2016-11-24,Standard Class,Central
159,CA-2016-114104,NP-18670,TEC-PH-10004536,944.9300,7,0.00,236.2325,2016-11-20,2016-11-24,Standard Class,Central
160,CA-2016-162733,TT-21070,OFF-PA-10002751,5.9800,1,0.00,2.6910,2016-05-11,2016-05-12,First Class,West
161,CA-2015-119697,EM-13960,TEC-AC-10003657,54.3840,2,0.20,1.3596,2015-12-28,2015-12-31,Second Class,East
162,CA-2016-154508,RD-19900,OFF-EN-10001990,28.4000,5,0.00,13.3480,2016-11-16,2016-11-20,Standard Class,West
163,CA-2016-113817,MJ-17740,OFF-BI-10004002,27.6800,2,0.20,9.6880,2016-11-07,2016-11-11,Standard Class,West
164,CA-2014-139892,BM-11140,OFF-AR-10004441,9.9360,3,0.20,2.7324,2014-09-08,2014-09-12,Standard Class,Central
165,CA-2014-139892,BM-11140,TEC-MA-10000822,8159.9520,8,0.40,-1359.9920,2014-09-08,2014-09-12,Standard Class,Central
166,CA-2014-139892,BM-11140,OFF-ST-10000991,275.9280,3,0.20,-58.6347,2014-09-08,2014-09-12,Standard Class,Central
167,CA-2014-139892,BM-11140,FUR-CH-10004287,1740.0600,9,0.30,-24.8580,2014-09-08,2014-09-12,Standard Class,Central
168,CA-2014-139892,BM-11140,OFF-AR-10002656,32.0640,6,0.20,6.8136,2014-09-08,2014-09-12,Standard Class,Central
169,CA-2014-139892,BM-11140,OFF-AP-10002518,177.9800,5,0.80,-453.8490,2014-09-08,2014-09-12,Standard Class,Central
170,CA-2014-139892,BM-11140,TEC-PH-10003931,143.9760,3,0.20,8.9985,2014-09-08,2014-09-12,Standard Class,Central
171,CA-2014-118962,CS-12130,OFF-PA-10000659,20.9400,3,0.00,9.8418,2014-08-05,2014-08-09,Standard Class,West
172,CA-2014-118962,CS-12130,OFF-PA-10001144,110.9600,2,0.00,53.2608,2014-08-05,2014-08-09,Standard Class,West
173,CA-2014-118962,CS-12130,FUR-CH-10003817,340.1440,7,0.20,21.2590,2014-08-05,2014-08-09,Standard Class,West
174,US-2014-100853,JB-15400,OFF-AP-10000891,52.4480,2,0.80,-131.1200,2014-09-14,2014-09-19,Standard Class,Central
175,US-2014-100853,JB-15400,OFF-LA-10003148,20.1600,4,0.20,6.5520,2014-09-14,2014-09-19,Standard Class,Central
176,US-2017-152366,SJ-20500,OFF-AP-10002684,97.2640,4,0.80,-243.1600,2017-04-21,2017-04-25,Second Class,Central
177,US-2015-101511,JE-15745,FUR-CH-10004698,396.8020,7,0.30,-11.3372,2015-11-21,2015-11-23,Second Class,East
178,US-2015-101511,JE-15745,OFF-SU-10002189,15.8800,5,0.20,-3.7715,2015-11-21,2015-11-23,Second Class,East
179,CA-2015-137225,JK-15640,OFF-AR-10001940,3.2800,1,0.00,1.4104,2015-12-15,2015-12-19,Standard Class,East
180,CA-2014-166191,DK-13150,OFF-ST-10003455,24.8160,2,0.20,1.8612,2014-12-05,2014-12-09,Second Class,Central
181,CA-2014-166191,DK-13150,TEC-AC-10004659,408.7440,7,0.20,76.6395,2014-12-05,2014-12-09,Second Class,Central
182,CA-2014-158274,RM-19675,TEC-PH-10003273,503.9600,4,0.00,131.0296,2014-11-19,2014-11-24,Second Class,South
183,CA-2014-158274,RM-19675,TEC-PH-10004896,149.9500,5,0.00,41.9860,2014-11-19,2014-11-24,Second Class,South
184,CA-2014-158274,RM-19675,TEC-AC-10002345,29.0000,2,0.00,7.2500,2014-11-19,2014-11-24,Second Class,South
185,CA-2016-105018,SK-19990,OFF-BI-10001890,7.1600,2,0.00,3.4368,2016-11-28,2016-12-02,Standard Class,East
186,CA-2014-123260,FM-14290,TEC-AC-10002323,176.8000,8,0.00,22.9840,2014-08-26,2014-08-30,Standard Class,West
187,CA-2016-157000,AM-10360,OFF-ST-10001328,37.2240,3,0.20,3.7224,2016-07-16,2016-07-22,Standard Class,Central
188,CA-2016-157000,AM-10360,OFF-PA-10001950,20.0160,3,0.20,6.2550,2016-07-16,2016-07-22,Standard Class,Central
189,CA-2015-102281,MP-17470,FUR-BO-10002613,899.1360,4,0.20,112.3920,2015-10-12,2015-10-14,First Class,East
190,CA-2015-102281,MP-17470,TEC-PH-10001552,71.7600,6,0.00,20.0928,2015-10-12,2015-10-14,First Class,East
191,CA-2015-102281,MP-17470,OFF-PA-10000061,51.8400,8,0.00,24.8832,2015-10-12,2015-10-14,First Class,East
192,CA-2015-102281,MP-17470,FUR-BO-10002545,626.3520,3,0.20,46.9764,2015-10-12,2015-10-14,First Class,East
193,CA-2015-102281,MP-17470,OFF-AR-10003514,19.9000,5,0.00,6.5670,2015-10-12,2015-10-14,First Class,East
194,CA-2015-131457,MZ-17515,OFF-EN-10001509,14.2800,7,0.00,6.7116,2015-10-31,2015-11-06,Standard Class,West
195,CA-2014-140004,CB-12025,OFF-AR-10004685,7.4080,2,0.20,1.2038,2014-03-21,2014-03-25,Standard Class,East
196,CA-2014-140004,CB-12025,OFF-AR-10004027,6.0480,3,0.20,1.5876,2014-03-21,2014-03-25,Standard Class,East
197,CA-2017-107720,VM-21685,OFF-ST-10001414,46.2600,3,0.00,12.0276,2017-11-06,2017-11-13,Standard Class,East
198,US-2017-124303,FH-14365,OFF-BI-10000343,2.9460,2,0.70,-2.2586,2017-07-06,2017-07-13,Standard Class,East
199,US-2017-124303,FH-14365,OFF-PA-10002749,16.0560,3,0.20,5.8203,2017-07-06,2017-07-13,Standard Class,East
200,CA-2017-105074,MB-17305,OFF-PA-10002666,21.7440,3,0.20,6.7950,2017-06-24,2017-06-29,Standard Class,East
201,CA-2014-133690,BS-11755,FUR-TA-10004289,218.7500,2,0.50,-161.8750,2014-08-03,2014-08-05,First Class,West
202,CA-2014-133690,BS-11755,OFF-AP-10003622,2.6000,1,0.20,0.2925,2014-08-03,2014-08-05,First Class,West
203,US-2017-116701,LC-17140,OFF-AP-10003217,66.2840,2,0.80,-178.9668,2017-12-17,2017-12-21,Second Class,Central
204,CA-2017-126382,HK-14890,FUR-FU-10002960,35.1680,7,0.20,9.6712,2017-06-03,2017-06-07,Standard Class,South
205,CA-2017-108329,LE-16810,TEC-PH-10001918,444.7680,4,0.20,44.4768,2017-12-09,2017-12-14,Standard Class,West
206,CA-2017-135860,JH-15985,OFF-ST-10000642,83.9200,4,0.00,5.8744,2017-12-01,2017-12-07,Standard Class,Central
207,CA-2017-135860,JH-15985,TEC-PH-10001700,131.9800,2,0.00,35.6346,2017-12-01,2017-12-07,Standard Class,Central
208,CA-2017-135860,JH-15985,OFF-BI-10003274,15.9200,4,0.00,7.4824,2017-12-01,2017-12-07,Standard Class,Central
